-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 08/15/1994 through 08/15/2024 
Location: Latitude  40.7417   Longitude 22.8516 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 233.19 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                  MERRA-2 Wind Direction at 10 Meters (Degrees) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,QV2M,WS10M,WD10M,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF
1994,8,15,30.55,9.83,1.76,149.12,-999.0,-999.0
1994,8,16,27.8,9.89,2.23,147.62,-999.0,-999.0
1994,8,17,25.86,10.01,2.38,140.44,-999.0,-999.0
1994,8,18,24.9,10.68,3.82,148.81,-999.0,-999.0
1994,8,19,24.53,10.01,3.66,253.75,-999.0,-999.0
1994,8,20,25.12,6.53,1.95,290.12,-999.0,-999.0
1994,8,21,27.02,7.51,2.0,162.12,-999.0,-999.0
1994,8,22,28.01,8.61,2.2,129.06,-999.0,-999.0
1994,8,23,27.36,10.62,3.04,134.38,-999.0,-999.0
1994,8,24,26.9,10.19,2.8,115.06,-999.0,-999.0
1994,8,25,26.83,11.41,3.52,140.56,-999.0,-999.0
1994,8,26,24.59,12.33,2.52,210.19,-999.0,-999.0
1994,8,27,23.61,9.03,7.23,323.56,-999.0,-999.0
1994,8,28,23.84,8.73,3.77,324.44,-999.0,-999.0
1994,8,29,24.23,10.01,2.52,156.5,-999.0,-999.0
